,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,chaque,each
16,devrait,should
17,bébé,baby
18,heures,hours
19,vont,will
20,pendant,while
21,place,square
22,parle,speak
23,compris,understood
24,savais,knew
25,étaient,were
26,attention,Warning
27,voici,here is
28,affaire,case
29,donner,give
30,type,type
31,leurs,their
32,donné,given
33,train,train
34,corps,body
35,endroit,place
36,yeux,eyes
37,façon,way
38,dont,whose
39,trouve,find
40,premier,first
41,perdu,lost
42,main,hand
43,première,first
44,côté,side
45,pouvoir,power
46,vieux,old
47,sois,be
48,tiens,here
49,tellement,so much
50,suite,after
51,venez,come
52,devant,in front of
53,vers,towards
54,minutes,minutes
55,demandé,request
56,chambre,bedroom
57,mis,placed
58,belle,beautiful
59,aujourd'hui,today
60,cause,cause
61,espère,hope
62,eau,water
63,attendez,Wait
64,parti,left
65,nouvelle,new
66,boulot,job
67,dirait,would say
68,terre,Earth
69,loin,far
70,fin,end
71,croire,believe
72,chérie,sweetheart
73,gros,large
74,plutôt,rather
75,aura,will have
76,filles,girls
77,jouer,to play
78,bureau,office
